,origin,dest,count
0,EWR,ALB,439
1,EWR,ANC,8
2,EWR,ATL,5022
3,EWR,AUS,968
4,EWR,AVL,265
5,EWR,BDL,443
6,EWR,BNA,2336
7,EWR,BOS,5327
8,EWR,BQN,297
9,EWR,BTV,931
10,EWR,BUF,973
11,EWR,BWI,545
12,EWR,BZN,36
13,EWR,CAE,104
14,EWR,CHS,1424
15,EWR,CLE,1754
16,EWR,CLT,5026
17,EWR,CMH,724
18,EWR,CVG,2673
19,EWR,DAY,1134
20,EWR,DCA,1719
21,EWR,DEN,2859
22,EWR,DFW,3148
23,EWR,DSM,411
24,EWR,DTW,3178
25,EWR,EGE,110
26,EWR,FLL,3793
27,EWR,GRR,719
28,EWR,GSO,1120
29,EWR,GSP,745
30,EWR,HDN,15
31,EWR,HNL,365
32,EWR,HOU,976
33,EWR,IAD,1236
34,EWR,IAH,3973
35,EWR,IND,1301
36,EWR,JAC,23
37,EWR,JAX,1242
38,EWR,LAS,2010
39,EWR,LAX,4912
40,EWR,LGA,1
41,EWR,MCI,1356
42,EWR,MCO,4941
43,EWR,MDW,2043
44,EWR,MEM,926
45,EWR,MHT,867
46,EWR,MIA,2633
47,EWR,MKE,1094
48,EWR,MSN,354
49,EWR,MSP,2377
50,EWR,MSY,1155
51,EWR,MTJ,15
52,EWR,MYR,56
53,EWR,OKC,346
54,EWR,OMA,754
55,EWR,ORD,6100
56,EWR,ORF,584
57,EWR,PBI,2351
58,EWR,PDX,571
59,EWR,PHL,49
60,EWR,PHX,2723
61,EWR,PIT,559
62,EWR,PVD,376
63,EWR,PWM,770
64,EWR,RDU,1482
65,EWR,RIC,1667
66,EWR,ROC,513
67,EWR,RSW,1437
68,EWR,SAN,1134
69,EWR,SAT,330
70,EWR,SAV,736
71,EWR,SBN,4
72,EWR,SDF,894
73,EWR,SEA,1831
74,EWR,SFO,5127
75,EWR,SJU,1067
76,EWR,SLC,354
77,EWR,SNA,825
78,EWR,STL,2516
79,EWR,STT,189
80,EWR,SYR,157
81,EWR,TPA,2334
82,EWR,TUL,315
83,EWR,TVC,24
84,EWR,TYS,323
85,EWR,XNA,291
86,JFK,ABQ,254
87,JFK,ACK,265
88,JFK,ATL,1930
89,JFK,AUS,1471
90,JFK,BHM,1
91,JFK,BNA,730
92,JFK,BOS,5898
93,JFK,BQN,599
94,JFK,BTV,1364
95,JFK,BUF,3582
96,JFK,BUR,371
97,JFK,BWI,1221
98,JFK,CHS,960
99,JFK,CLE,707
100,JFK,CLT,2870
101,JFK,CMH,742
102,JFK,CVG,997
103,JFK,DCA,3270
104,JFK,DEN,703
105,JFK,DFW,732
106,JFK,DTW,1166
107,JFK,EGE,103
108,JFK,FLL,4254
109,JFK,HNL,342
110,JFK,HOU,714
111,JFK,IAD,2661
112,JFK,IAH,274
113,JFK,IND,689
114,JFK,JAC,2
115,JFK,JAX,1299
116,JFK,LAS,3987
117,JFK,LAX,11262
118,JFK,LGB,668
119,JFK,MCI,276
120,JFK,MCO,5464
121,JFK,MEM,1
122,JFK,MIA,3314
123,JFK,MKE,183
124,JFK,MSP,1095
125,JFK,MSY,1633
126,JFK,MVY,221
127,JFK,OAK,312
128,JFK,ORD,2326
129,JFK,ORF,746
130,JFK,PBI,1739
131,JFK,PDX,783
132,JFK,PHL,976
133,JFK,PHX,1933
134,JFK,PIT,1249
135,JFK,PSE,365
136,JFK,PSP,19
137,JFK,PWM,1304
138,JFK,RDU,3100
139,JFK,RIC,249
140,JFK,ROC,1679
141,JFK,RSW,1339
142,JFK,SAN,1603
143,JFK,SAT,356
144,JFK,SDF,46
145,JFK,SEA,2092
146,JFK,SFO,8204
147,JFK,SJC,329
148,JFK,SJU,4752
149,JFK,SLC,2113
150,JFK,SMF,284
151,JFK,SRQ,474
152,JFK,STL,1
153,JFK,STT,333
154,JFK,SYR,1311
155,JFK,TPA,2987
156,LGA,ATL,10263
157,LGA,AVL,10
158,LGA,BGR,375
159,LGA,BHM,296
160,LGA,BNA,3267
161,LGA,BOS,4283
162,LGA,BTV,294
163,LGA,BUF,126
164,LGA,BWI,15
165,LGA,CAE,12
166,LGA,CAK,864
167,LGA,CHO,52
168,LGA,CHS,500
169,LGA,CLE,2112
170,LGA,CLT,6168
171,LGA,CMH,2058
172,LGA,CRW,138
173,LGA,CVG,271
174,LGA,DAY,391
175,LGA,DCA,4716
176,LGA,DEN,3704
177,LGA,DFW,4858
178,LGA,DSM,158
179,LGA,DTW,5040
180,LGA,EYW,17
181,LGA,FLL,4008
182,LGA,GRR,46
183,LGA,GSO,486
184,LGA,GSP,104
185,LGA,HOU,425
186,LGA,IAD,1803
187,LGA,IAH,2951
188,LGA,ILM,110
189,LGA,IND,87
190,LGA,JAX,179
191,LGA,LEX,1
192,LGA,MCI,376
193,LGA,MCO,3677
194,LGA,MDW,2070
195,LGA,MEM,862
196,LGA,MHT,142
197,LGA,MIA,5781
198,LGA,MKE,1525
199,LGA,MSN,218
200,LGA,MSP,3713
201,LGA,MSY,1011
202,LGA,MYR,3
203,LGA,OMA,95
204,LGA,ORD,8857
205,LGA,ORF,206
206,LGA,PBI,2464
207,LGA,PHL,607
208,LGA,PIT,1067
209,LGA,PWM,278
210,LGA,RDU,3581
211,LGA,RIC,538
212,LGA,ROC,224
213,LGA,RSW,761
214,LGA,SAV,68
215,LGA,SBN,6
216,LGA,SDF,217
217,LGA,SRQ,737
218,LGA,STL,1822
219,LGA,SYR,293
220,LGA,TPA,2145
221,LGA,TVC,77
222,LGA,TYS,308
223,LGA,XNA,745
